"";"STN";"Weeknr";"Degrees_Celsius_min.mean";"Degrees_Celsius_avg.mean";"Degrees_Celsius_max.mean";"Rainfall_mm.mean";"LON.east.";"LAT.north.";"ALT.m.";"NAME"
"1458";350;28;12.5142857142857;17.8;22.8571428571429;26.9714285714286;4.936;51.566;14.9;"GILZE-RIJEN"
"1459";350;5;1.45714285714286;4.74285714285714;7.62857142857143;30.2285714285714;4.936;51.566;14.9;"GILZE-RIJEN"
"1460";350;24;11.0571428571429;16.8857142857143;22.2;14.9428571428571;4.936;51.566;14.9;"GILZE-RIJEN"
"1461";350;11;1;6.54285714285714;11.5714285714286;13.6857142857143;4.936;51.566;14.9;"GILZE-RIJEN"
"1462";350;15;4.42857142857143;11;16.3428571428571;13.6857142857143;4.936;51.566;14.9;"GILZE-RIJEN"
"1463";350;53;2;4.66666666666667;7.66666666666667;29.6666666666667;4.936;51.566;14.9;"GILZE-RIJEN"
"1464";350;42;7.88571428571429;12.3714285714286;16.6571428571429;18.3428571428571;4.936;51.566;14.9;"GILZE-RIJEN"
"1465";350;17;3.68571428571429;9.68571428571429;14.9428571428571;20.2857142857143;4.936;51.566;14.9;"GILZE-RIJEN"
"1466";350;29;14.2285714285714;20.9142857142857;27;9.85714285714286;4.936;51.566;14.9;"GILZE-RIJEN"
"1467";350;26;11.9142857142857;18.0285714285714;23.4571428571429;19.6;4.936;51.566;14.9;"GILZE-RIJEN"
"1468";350;3;-0.885714285714286;2.17142857142857;5;19.9142857142857;4.936;51.566;14.9;"GILZE-RIJEN"
"1469";350;10;0.8;6.42857142857143;11.7428571428571;15.9428571428571;4.936;51.566;14.9;"GILZE-RIJEN"
"1470";350;16;3.65714285714286;10.6285714285714;16.8571428571429;10.0857142857143;4.936;51.566;14.9;"GILZE-RIJEN"
"1471";350;13;3.57142857142857;9.2;14.1714285714286;29.1714285714286;4.936;51.566;14.9;"GILZE-RIJEN"
"1472";350;6;0.542857142857143;3.8;6.4;21.0571428571429;4.936;51.566;14.9;"GILZE-RIJEN"
"1473";350;49;1.72222222222222;5;7.77777777777778;13;4.936;51.566;14.9;"GILZE-RIJEN"
"1474";350;23;11.5428571428571;17.7428571428571;23.6285714285714;26.4857142857143;4.936;51.566;14.9;"GILZE-RIJEN"
"1475";350;22;11.4;16.6857142857143;21.9714285714286;31.7714285714286;4.936;51.566;14.9;"GILZE-RIJEN"
"1476";350;51;5.4;8.05714285714286;10.1428571428571;16.0571428571429;4.936;51.566;14.9;"GILZE-RIJEN"
"1477";356;44;5.02857142857143;9.34285714285714;13.6571428571429;13.3714285714286;5.146;51.859;0.7;"HERWIJNEN"
"1478";356;50;2.25714285714286;5.34285714285714;7.8;34.3428571428571;5.146;51.859;0.7;"HERWIJNEN"
"1479";356;21;10.6285714285714;16.2571428571429;21.1714285714286;24.4285714285714;5.146;51.859;0.7;"HERWIJNEN"
"1480";356;39;7.82857142857143;13.3142857142857;18.8857142857143;9.11428571428571;5.146;51.859;0.7;"HERWIJNEN"
"1481";356;32;12.3142857142857;17.9428571428571;23.0285714285714;22.4571428571429;5.146;51.859;0.7;"HERWIJNEN"
"1482";356;45;5.57142857142857;8.8;12;17.4;5.146;51.859;0.7;"HERWIJNEN"
"1483";356;41;7.6;12;16.1714285714286;7.37142857142857;5.146;51.859;0.7;"HERWIJNEN"
"1484";356;40;8.48571428571429;12.8285714285714;17.3428571428571;22.2285714285714;5.146;51.859;0.7;"HERWIJNEN"
"1485";356;25;11.4571428571429;16.5714285714286;21.0857142857143;13.7714285714286;5.146;51.859;0.7;"HERWIJNEN"
"1486";356;28;12.2;17.6;22.5428571428571;21.2;5.146;51.859;0.7;"HERWIJNEN"
"1487";356;30;14.5428571428571;19.5142857142857;24.3714285714286;40.7428571428571;5.146;51.859;0.7;"HERWIJNEN"
"1488";356;38;9.45714285714286;14.7142857142857;19.7714285714286;18.7714285714286;5.146;51.859;0.7;"HERWIJNEN"
"1489";356;37;11.0285714285714;16;21.2857142857143;21.9142857142857;5.146;51.859;0.7;"HERWIJNEN"
"1490";356;46;4.65714285714286;8.05714285714286;10.9142857142857;28.3142857142857;5.146;51.859;0.7;"HERWIJNEN"
"1491";356;52;2.71428571428571;5.85714285714286;8.22857142857143;22.2571428571429;5.146;51.859;0.7;"HERWIJNEN"
"1492";356;2;2.54285714285714;5.31428571428571;7.74285714285714;37.0571428571429;5.146;51.859;0.7;"HERWIJNEN"
"1493";356;1;2.31428571428571;4.85714285714286;7.28571428571429;24.0285714285714;5.146;51.859;0.7;"HERWIJNEN"
"1494";356;33;12.4857142857143;17.1142857142857;21.6857142857143;41;5.146;51.859;0.7;"HERWIJNEN"
"1495";356;14;4.37142857142857;9.6;14.8285714285714;10.8571428571429;5.146;51.859;0.7;"HERWIJNEN"
"1496";356;43;7.11428571428571;10.6857142857143;13.9428571428571;10.6857142857143;5.146;51.859;0.7;"HERWIJNEN"
"1497";356;27;12.3142857142857;18.7142857142857;24.4857142857143;19.8571428571429;5.146;51.859;0.7;"HERWIJNEN"
"1498";356;20;7.25714285714286;13.4571428571429;18.9714285714286;10.0571428571429;5.146;51.859;0.7;"HERWIJNEN"
"1499";356;26;11.7714285714286;17.6285714285714;22.4285714285714;15.2285714285714;5.146;51.859;0.7;"HERWIJNEN"
"1500";356;7;-0.6;3.45714285714286;7.82857142857143;8.71428571428571;5.146;51.859;0.7;"HERWIJNEN"
"1501";356;11;1.4;6.11428571428571;10.8857142857143;11.0571428571429;5.146;51.859;0.7;"HERWIJNEN"
"1502";356;34;11.5142857142857;17.1142857142857;22.9142857142857;44.0285714285714;5.146;51.859;0.7;"HERWIJNEN"
"1503";356;15;4.08571428571429;10.2571428571429;15.6285714285714;7;5.146;51.859;0.7;"HERWIJNEN"
"1504";356;19;8.4;14.2571428571429;19.8;18.6285714285714;5.146;51.859;0.7;"HERWIJNEN"
"1505";356;17;3.65714285714286;9.28571428571429;14.0857142857143;22.3428571428571;5.146;51.859;0.7;"HERWIJNEN"
"1506";356;4;1.28571428571429;4.14285714285714;6.82857142857143;20.2285714285714;5.146;51.859;0.7;"HERWIJNEN"
"1507";356;29;14.2857142857143;20.4571428571429;26.0285714285714;10.9428571428571;5.146;51.859;0.7;"HERWIJNEN"
"1508";356;31;12.6;18.6857142857143;24.1142857142857;14.6285714285714;5.146;51.859;0.7;"HERWIJNEN"
"1509";356;12;2.05714285714286;6.37142857142857;10.5714285714286;10.3142857142857;5.146;51.859;0.7;"HERWIJNEN"
"1510";356;53;1.83333333333333;4.83333333333333;7.16666666666667;36.1666666666667;5.146;51.859;0.7;"HERWIJNEN"
"1511";356;47;2.91428571428571;6.37142857142857;9.2;16.6;5.146;51.859;0.7;"HERWIJNEN"
"1512";356;22;11;16.4;21.2857142857143;25.0857142857143;5.146;51.859;0.7;"HERWIJNEN"
"1513";356;3;-0.685714285714286;1.91428571428571;4.62857142857143;19.2857142857143;5.146;51.859;0.7;"HERWIJNEN"
"1514";356;5;1.37142857142857;4.34285714285714;7.4;30.9142857142857;5.146;51.859;0.7;"HERWIJNEN"
"1515";356;24;11.0571428571429;16.5142857142857;21.4;12.4285714285714;5.146;51.859;0.7;"HERWIJNEN"
"1516";356;13;3.57142857142857;8.68571428571429;13.5142857142857;28.5714285714286;5.146;51.859;0.7;"HERWIJNEN"
"1517";356;42;7.82857142857143;12.1428571428571;16.3714285714286;22.3142857142857;5.146;51.859;0.7;"HERWIJNEN"
"1518";356;36;11.5142857142857;16.0571428571429;20.7428571428571;33.1142857142857;5.146;51.859;0.7;"HERWIJNEN"
"1519";356;48;1.81081081081081;4.67567567567568;7.40540540540541;23.8378378378378;5.146;51.859;0.7;"HERWIJNEN"
"1520";356;23;11.5428571428571;17.2857142857143;22.8571428571429;24.6857142857143;5.146;51.859;0.7;"HERWIJNEN"
"1521";356;8;1.71428571428571;4.88571428571429;8.17142857142857;27.8571428571429;5.146;51.859;0.7;"HERWIJNEN"
"1522";356;49;1.41666666666667;4.66666666666667;7.44444444444444;20.1388888888889;5.146;51.859;0.7;"HERWIJNEN"
"1523";356;35;10.7714285714286;16.8;22.4;40.1714285714286;5.146;51.859;0.7;"HERWIJNEN"
"1524";356;18;5.02857142857143;11.0285714285714;16.2857142857143;19.3428571428571;5.146;51.859;0.7;"HERWIJNEN"
"1525";356;51;5.25714285714286;7.88571428571429;9.85714285714286;14.6285714285714;5.146;51.859;0.7;"HERWIJNEN"
"1526";356;6;1.08571428571429;3.6;6.14285714285714;22.0285714285714;5.146;51.859;0.7;"HERWIJNEN"
"1527";356;9;0.0285714285714286;3.51428571428571;7.25714285714286;18.3142857142857;5.146;51.859;0.7;"HERWIJNEN"
"1528";356;10;1.22857142857143;6.17142857142857;11.3714285714286;15.4;5.146;51.859;0.7;"HERWIJNEN"
"1529";356;16;3.6;10.0571428571429;15.9714285714286;8.88571428571429;5.146;51.859;0.7;"HERWIJNEN"
"1530";370;3;-1.17142857142857;2;5.02857142857143;17.2;5.377;51.451;22.6;"EINDHOVEN"
"1531";370;11;1.25714285714286;6.62857142857143;11.7142857142857;13.8;5.377;51.451;22.6;"EINDHOVEN"
"1532";370;19;8.8;14.9428571428571;20.4571428571429;20.2571428571429;5.377;51.451;22.6;"EINDHOVEN"
"1533";370;21;10.5714285714286;16.6285714285714;22.1714285714286;28.4571428571429;5.377;51.451;22.6;"EINDHOVEN"
"1534";370;14;4.45714285714286;10.1714285714286;15.6;9.54285714285714;5.377;51.451;22.6;"EINDHOVEN"
"1535";370;8;1.25714285714286;4.88571428571429;8.54285714285714;28.4;5.377;51.451;22.6;"EINDHOVEN"
"1536";370;33;12.4571428571429;17.2285714285714;22.3142857142857;36.5428571428571;5.377;51.451;22.6;"EINDHOVEN"
"1537";370;46;4.82857142857143;8.14285714285714;10.9428571428571;27.8285714285714;5.377;51.451;22.6;"EINDHOVEN"
"1538";370;15;4.22857142857143;10.8571428571429;16.7714285714286;12.3428571428571;5.377;51.451;22.6;"EINDHOVEN"
"1539";370;51;5.42857142857143;7.94285714285714;10;16.0571428571429;5.377;51.451;22.6;"EINDHOVEN"
"1540";370;20;6.88571428571429;13.7714285714286;19.8285714285714;11.9714285714286;5.377;51.451;22.6;"EINDHOVEN"
"1541";370;7;-0.828571428571429;3.71428571428571;8.48571428571429;9.74285714285714;5.377;51.451;22.6;"EINDHOVEN"
"1542";370;37;10.8285714285714;16.1142857142857;21.8285714285714;19.8285714285714;5.377;51.451;22.6;"EINDHOVEN"
